,departamento,municipio,establecimiento,direccion
284,SANTA CRUZ,SAN ANTONIO DE LOMERIO,P.S. FATIMA,Sin registro
285,SANTA CRUZ,SAN ANTONIO DE LOMERIO,PALMIRA,1/2 cuadra de la plaza principal
286,SANTA CRUZ,SAN ANTONIO DE LOMERIO,PUQUIO CRISTO REY,CALLE HEROES DEL CHACO Y 19 DE MARZO
287,SANTA CRUZ,SAN ANTONIO DE LOMERIO,SAN LORENZO SANTA CRUZ,UNA CUADRA  DE LA PLAZA
288,SANTA CRUZ,SAN CARLOS,2 DE AGOSTO,2 DE AGOSTO
290,SANTA CRUZ,SAN CARLOS,ANTOFAGASTA,ANTOFAGASTA-B/1RO DE MAYO-C/LIBERTAD Y BELEN
291,SANTA CRUZ,SAN CARLOS,BUEN RETIRO,Buen Retiro- Av. Buen Retiro
292,SANTA CRUZ,SAN CARLOS,CSCI SANTA FE,B/PALMA VERDE C/ ALEMANA
293,SANTA CRUZ,SAN CARLOS,ICHILO,FINAL AVENIDA ICHILO
295,SANTA CRUZ,SAN CARLOS,VILLA IMPERIAL,BARRIO AMBORO-SOBRE AV. AMBORO
296,SANTA CRUZ,SAN IGNACIO DE VELASCO,CANDELARIA DE NOZA,CANDELARIA DE NOZA-SAN IGNACIO DE VELASCO
297,SANTA CRUZ,SAN IGNACIO DE VELASCO,EL CAMPAMENTO,SAN JOSE DE CAMPAMENTO
299,SANTA CRUZ,SAN IGNACIO DE VELASCO,EL CARMEN DE RUIZ,VELASCO
300,SANTA CRUZ,SAN IGNACIO DE VELASCO,ESPIRITU,COMUNIDAD ESPIRITU DE LA FRONTERA
301,SANTA CRUZ,SAN IGNACIO DE VELASCO,FLORIDA,FLORIDA- SAN IGNACIO DE VELASCO
302,SANTA CRUZ,SAN IGNACIO DE VELASCO,PALMARITO,PALMARITO - SAN IGNACIO DE VELASCO
303,SANTA CRUZ,SAN IGNACIO DE VELASCO,PISO FIRME,COMUNIDAD PISO FIRME
304,SANTA CRUZ,SAN IGNACIO DE VELASCO,PORVENIR,Localidad Porvenir - San Ignacio de Velasco
306,SANTA CRUZ,SAN IGNACIO DE VELASCO,SAN BARTOLO,DE VELASCO
307,SANTA CRUZ,SAN IGNACIO DE VELASCO,SAN JAVIERITO,COMUNIDAD SAN JAVIERITO
308,SANTA CRUZ,SAN IGNACIO DE VELASCO,SAN JUAN DE MACONO,SAN JUAN DE MACONO- SAN IGNACIO DE VELASCO
309,SANTA CRUZ,SAN IGNACIO DE VELASCO,SAN LORENZITO,SAN IGNACIO DE VELASCO - SAN LORENZITO
310,SANTA CRUZ,SAN IGNACIO DE VELASCO,SAN MARTIN,SAN MARTIN - SAN IGNACIO DE VELASCO
311,SANTA CRUZ,SAN IGNACIO DE VELASCO,SAN NICOLAS CERRITO,SAN IGNACIO DE VELASCO
312,SANTA CRUZ,SAN IGNACIO DE VELASCO,SAN SIMON,SAN SIMON
313,SANTA CRUZ,SAN IGNACIO DE VELASCO,SAN VICENTE(SCZ),localidad san vicente
314,SANTA CRUZ,SAN IGNACIO DE VELASCO,SANTA  ANA DE VELASCO,LOCALIDAD DE SANTA ANA
316,SANTA CRUZ,SAN IGNACIO DE VELASCO,SANTA CLARA DE LA ESTRELLA,IGNACIO VELASCO
317,SANTA CRUZ,SAN IGNACIO DE VELASCO,SANTA ROSA DE ROCA,SANTA ROSA DE ROCA
318,SANTA CRUZ,SAN JAVIER(STC),HOSPITAL MUNICIPAL SAN JAVIER,Monsenor killian Pfaun-Barrio Cotoca
320,SANTA CRUZ,SAN JOSE DE CHIQUITOS,BUENA VISTA,JOSE DE CHIQUITOS
321,SANTA CRUZ,SAN JOSE DE CHIQUITOS,ENTRE RIOS,COMUNIDAD ENTRE RIOS
322,SANTA CRUZ,SAN JOSE DE CHIQUITOS,IPIAS,COMUNIDAD IPIAS
323,SANTA CRUZ,SAN JOSE DE CHIQUITOS,QUIMOME,COMUNIDAD QUIMOME B/8 DE DICIEMBRE
